BASE_DATE,ADM_DR_CD,ADM_DR_NM
20200630,3808011,삼랑진읍
20200630,3808012,하남읍
20200630,3808031,부북면
20200630,3808032,상동면
20200630,3808033,산외면
20200630,3808034,산내면
20200630,3808035,단장면
20200630,3808036,상남면
20200630,3808037,초동면
20200630,3808038,무안면
20200630,3808039,청도면
20200630,3808051,내일동
20200630,3808052,내이동
20200630,3808053,교동
20200630,3808054,삼문동
20200630,3808055,가곡동
20200630,3809031,일운면
20200630,3809032,동부면
20200630,3809033,남부면
20200630,3809034,거제면
20200630,3809035,둔덕면
20200630,3809036,사등면
20200630,3809037,연초면
20200630,3809038,하청면
20200630,3809039,장목면
20200630,3809053,능포동
20200630,3809054,아주동
20200630,3809055,옥포1동
20200630,3809056,옥포2동
20200630,3809057,장평동
20200630,3809058,고현동
20200630,3809059,상문동
20200630,3809060,수양동
20200630,3809061,장승포동
20200630,3810012,물금읍
20200630,3810031,동면
20200630,3810032,원동면
20200630,3810033,상북면
20200630,3810034,하북면
20200630,3810052,삼성동
20200630,3810053,강서동
20200630,3810054,서창동
20200630,3810055,소주동
20200630,3810056,평산동
20200630,3810057,덕계동
20200630,3810058,중앙동
20200630,3810059,양주동
20200630,3811111,동읍
20200630,3811131,북면
20200630,3811132,대산면
20200630,3811151,의창동
20200630,3811152,팔룡동
20200630,3811153,명곡동
20200630,3811154,봉림동
20200630,3811155,용지동
20200630,3811251,반송동
20200630,3811252,중앙동
20200630,3811253,상남동
20200630,3811254,사파동
20200630,3811255,가음정동
20200630,3811256,성주동
20200630,3811257,웅남동
20200630,3811331,구산면
20200630,3811332,진동면
20200630,3811333,진북면
20200630,3811334,진전면
20200630,3811351,현동
20200630,3811352,가포동
20200630,3811353,월영동
20200630,3811354,문화동
20200630,3811357,완월동
20200630,3811358,자산동
20200630,3811364,합포동
20200630,3811365,산호동
20200630,3811366,반월중앙동
20200630,3811367,오동동
20200630,3811368,교방동
20200630,3811411,내서읍
20200630,3811451,회원1동
20200630,3811452,회원2동
20200630,3811455,회성동
20200630,3811456,양덕1동
20200630,3811457,양덕2동
20200630,3811458,합성1동
20200630,3811459,합성2동
20200630,3811460,구암1동
20200630,3811461,구암2동
20200630,3811462,봉암동
20200630,3811463,석전동
20200630,3811554,여좌동
20200630,3811555,태백동
20200630,3811556,경화동
20200630,3811557,병암동
20200630,3811558,석동
20200630,3811559,이동
20200630,3811560,자은동
20200630,3811561,덕산동
20200630,3811562,풍호동
20200630,3811563,웅천동
20200630,3811564,웅동1동
20200630,3811565,웅동2동
20200630,3811566,충무동
20200630,3831011,의령읍
20200630,3831031,가례면
20200630,3831032,칠곡면
20200630,3831033,대의면
20200630,3831034,화정면
20200630,3831035,용덕면
20200630,3831036,정곡면
20200630,3831037,지정면
20200630,3831038,낙서면
20200630,3831039,부림면
20200630,3831040,봉수면
20200630,3831041,궁류면
20200630,3831042,유곡면
20200630,3832011,가야읍
20200630,3832012,칠원읍
20200630,3832031,함안면
20200630,3832032,군북면
20200630,3832033,법수면
20200630,3832034,대산면
20200630,3832035,칠서면
20200630,3832036,칠북면
20200630,3832038,산인면
20200630,3832039,여항면
20200630,3833011,창녕읍
20200630,3833012,남지읍
20200630,3833031,고암면
20200630,3833032,성산면
20200630,3833033,대합면
20200630,3833034,이방면
20200630,3833035,유어면
20200630,3833036,대지면
20200630,3833037,계성면
20200630,3833038,영산면
20200630,3833039,장마면
20200630,3833040,도천면
20200630,3833041,길곡면
20200630,3833042,부곡면
20200630,3834011,고성읍
20200630,3834031,삼산면
20200630,3834032,하일면
20200630,3834033,하이면
20200630,3834034,상리면
20200630,3834035,대가면
20200630,3834036,영현면
20200630,3834037,영오면
20200630,3834038,개천면
20200630,3834039,구만면
20200630,3834040,회화면
20200630,3834041,마암면
20200630,3834042,동해면
20200630,3834043,거류면
20200630,3835011,남해읍
20200630,3835031,이동면
20200630,3835032,상주면
20200630,3835033,삼동면
20200630,3835034,미조면
20200630,3835035,남면
20200630,3835036,서면
20200630,3835037,고현면
20200630,3835038,설천면
20200630,3835039,창선면
20200630,3836011,하동읍
20200630,3836031,화개면
20200630,3836032,악양면
20200630,3836033,적량면
20200630,3836034,횡천면
20200630,3836035,고전면
20200630,3836036,금남면
20200630,3836037,금성면
20200630,3836038,진교면
20200630,3836039,양보면
20200630,3836040,북천면
20200630,3836041,청암면
20200630,3836042,옥종면
20200630,3837011,산청읍
20200630,3837031,차황면
20200630,3837032,오부면
20200630,3837033,생초면
20200630,3837034,금서면
20200630,3837035,삼장면
20200630,3837036,시천면
20200630,3837037,단성면
20200630,3837038,신안면
20200630,3837039,생비량면
20200630,3837040,신등면
20200630,3838011,함양읍
20200630,3838031,마천면
20200630,3838032,휴천면
20200630,3838033,유림면
20200630,3838034,수동면
20200630,3838035,지곡면
20200630,3838036,안의면
20200630,3838037,서하면
20200630,3838038,서상면
20200630,3838039,백전면
20200630,3838040,병곡면
20200630,3839011,거창읍
20200630,3839031,주상면
20200630,3839032,웅양면
20200630,3839033,고제면
20200630,3839034,북상면
20200630,3839035,위천면
20200630,3839036,마리면
20200630,3839037,남상면
20200630,3839038,남하면
20200630,3839039,신원면
20200630,3839040,가조면
20200630,3839041,가북면
20200630,3840011,합천읍
20200630,3840031,봉산면
20200630,3840032,묘산면
20200630,3840033,가야면
20200630,3840034,야로면
20200630,3840035,율곡면
20200630,3840036,초계면
20200630,3840037,쌍책면
20200630,3840038,덕곡면
20200630,3840039,청덕면
20200630,3840040,적중면
20200630,3840041,대양면
20200630,3840042,쌍백면
20200630,3840043,삼가면
20200630,3840044,가회면
20200630,3840045,대병면
20200630,3840046,용주면
